1.7 1.7 1.7
2.8 2.8 2.5
5.3 5.5 5.4 
12.4 12.7 1.9
21.7 27.9 22.5
38.1 35.0 36.5
49.5 51.0 51.5 
67.0 73.0 64.5
79.0 85.5 81.6
98.7  91.7 92.4
111 110 136
119 129 121
125 138 119
155 153 141
150 167 152
175 174 170
187 177 175
