0	0	0	0
2.1	4.4	1.7	5.1
4.25	15.2	2.1	18.0
8.1	34.25	2.7	40.3
12.33	57.4	3.33	68.0
16.06	78.8	3.9	92.4
18.7	99.3	4.5	117
21.1	117.33	5.1	139
22.5	132.33	5.8	152
24.1	148.66	6.4	171
25.0	163.0	7.1	188

